date,ghi_kwh_m2
2024-06-24,5.401
2024-06-25,6.009
2024-06-26,4.151
2024-06-27,4.637
2024-06-28,3.343
2024-06-29,3.915
2024-06-30,5.12
2024-07-01,4.83
2024-07-02,3.283
2024-07-03,0.737
2024-07-04,1.656
2024-07-05,4.145
2024-07-06,3.299
2024-07-07,5.072
2024-07-08,2.65
2024-07-09,3.751
2024-07-10,3.766
2024-07-11,2.862
2024-07-12,4.194
2024-07-13,5.458
2024-07-14,7.516
2024-07-15,4.484
2024-07-16,2.863
2024-07-17,2.329
2024-07-18,4.417
2024-07-19,2.262
2024-07-20,6.581
2024-07-21,5.463
2024-07-22,3.675
2024-07-23,4.791
2024-07-24,4.188
2024-07-25,5.457
2024-07-26,3.796
2024-07-27,5.956
2024-07-28,7.406
2024-07-29,5.878
2024-07-30,7.317
2024-07-31,4.728
2024-08-01,4.521
2024-08-02,4.661
2024-08-03,2.279
2024-08-04,7.161
2024-08-05,4.741
2024-08-06,5.202
2024-08-07,3.004
2024-08-08,4.082
2024-08-09,4.784
2024-08-10,4.19
2024-08-11,3.607
2024-08-12,4.576
2024-08-13,5.117
2024-08-14,5.589
2024-08-15,4.713
2024-08-16,5.671
2024-08-17,5.861
2024-08-18,5.347
2024-08-19,1.751
2024-08-20,4.432
2024-08-21,6.237
2024-08-22,6.344
2024-08-23,2.956
2024-08-24,3.472
2024-08-25,6.296
2024-08-26,5.201
2024-08-27,4.827
2024-08-28,3.783
2024-08-29,3.976
2024-08-30,3.669
2024-08-31,6.916
2024-09-01,6.545
2024-09-02,3.313
2024-09-03,4.8
2024-09-04,3.149
2024-09-05,4.951
2024-09-06,1.782
2024-09-07,4.026
2024-09-08,2.218
2024-09-09,4.65
2024-09-10,4.655
2024-09-11,3.456
2024-09-12,2.041
2024-09-13,2.036
2024-09-14,1.599
2024-09-15,4.467
2024-09-16,5.616
2024-09-17,5.563
2024-09-18,1.889
2024-09-19,2.219
2024-09-20,5.737
2024-09-21,6.208
2024-09-22,5.872
2024-09-23,2.447
2024-09-24,4.872
2024-09-25,4.716
2024-09-26,2.459
2024-09-27,4.733
2024-09-28,2.486
2024-09-29,5.352
2024-09-30,5.518
2024-10-01,4.97
2024-10-02,6.734
2024-10-03,7.033
2024-10-04,6.281
2024-10-05,3.226
2024-10-06,5.265
2024-10-07,4.29
2024-10-08,5.788
2024-10-09,5.861
2024-10-10,5.13
2024-10-11,5.423
2024-10-12,5.49
2024-10-13,5.419
2024-10-14,5.505
2024-10-15,5.751
2024-10-16,2.469
2024-10-17,2.718
2024-10-18,4.903
2024-10-19,5.363
2024-10-20,3.263
2024-10-21,4.374
2024-10-22,4.092
2024-10-23,1.821
2024-10-24,1.736
2024-10-25,5.443
2024-10-26,4.623
2024-10-27,5.618
2024-10-28,5.368
2024-10-29,5.433
2024-10-30,4.648
2024-10-31,5.246
2024-11-01,4.918
2024-11-02,4.813
2024-11-03,2.372
2024-11-04,2.314
2024-11-05,3.798
2024-11-06,3.358
2024-11-07,3.41
2024-11-08,3.495
2024-11-09,3.738
2024-11-10,3.593
2024-11-11,1.812
2024-11-12,2.21
2024-11-13,2.62
2024-11-14,2.065
2024-11-15,2.384
2024-11-16,3.273
2024-11-17,3.005
2024-11-18,2.73
2024-11-19,3.193
2024-11-20,3.325
2024-11-21,4.082
2024-11-22,2.956
2024-11-23,3.043
2024-11-24,4.247
2024-11-25,3.589
2024-11-26,2.57
2024-11-27,4.552
2024-11-28,2.202
2024-11-29,2.094
2024-11-30,3.626
2024-12-01,4.175
2024-12-02,3.942
2024-12-03,4.457
2024-12-04,4.458
2024-12-05,5.115
2024-12-06,4.386
2024-12-07,3.783
2024-12-08,3.516
2024-12-09,3.628
2024-12-10,3.75
2024-12-11,4.055
2024-12-12,1.918
2024-12-13,4.318
2024-12-14,2.445
2024-12-15,4.192
2024-12-16,3.389
2024-12-17,3.927
2024-12-18,3.448
2024-12-19,1.567
2024-12-20,2.981
2024-12-21,3.18
2024-12-22,3.331
2024-12-23,1.298
2024-12-24,1.664
2024-12-25,2.138
2024-12-26,1.764
2024-12-27,0.546
2024-12-28,0.546
2024-12-29,1.503
2024-12-30,0.888
2024-12-31,1.182
